generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean
1,500,4,170.0164,13.9201,5.0167,329,495,19.8984,52.4504,99.7741,0.0992
2,500,10,319.9997,17.5863,5.0417,641,490,24.5319,50.2235,96.4207,0.1027
3,500,104,684.9998,110.5959,20.1667,9464,396,27.0453,51.8108,94.9296,0.1075
4,500,292,4459.9995,1667.2622,1854.9998,164480,208,27.7471,52.1542,95.5924,0.1100
5,500,499,5039.9995,2092.8713,1867.4998,206291,1,27.9343,49.8139,94.5026,0.1090
6,500,500,4834.9995,2103.9998,1864.9998,207400,0,28.0671,49.2029,94.6221,0.1093
7,500,500,4644.9995,2100.7898,1839.9998,207079,0,28.2499,49.3387,94.7599,0.1099
8,500,500,4534.9995,2104.8298,1844.9998,207483,0,28.2786,49.0630,94.5683,0.1096
9,500,500,4579.9995,2099.7998,1869.9998,206980,0,28.3054,49.2234,94.6884,0.1098
10,500,500,4569.9995,2101.5398,1844.9998,207154,0,28.3682,49.0691,95.0270,0.1096
11,500,500,4584.9995,2111.5398,1844.9998,208154,0,28.4381,49.0676,95.1960,0.1095
12,500,500,4579.9995,2120.1396,1839.9998,209014,0,28.5336,49.0627,94.9997,0.1093
13,500,500,4499.9995,2110.5698,1844.9998,208057,0,28.5809,49.1052,95.1017,0.1092
14,500,500,4594.9995,2119.7297,1854.9998,208973,0,28.6055,49.0425,94.8887,0.1093
15,500,500,4529.9995,2117.5098,1842.4998,208751,0,28.6604,49.0264,94.8087,0.1093
16,500,500,4949.9995,2108.4297,1852.4998,207843,0,28.7795,48.9321,95.0166,0.1094
17,500,500,5124.9995,2122.1099,1847.4998,209211,0,28.7818,49.3615,94.8436,0.1096
18,500,500,4749.9995,2116.5798,1842.4998,208658,0,28.7849,49.0902,95.0748,0.1094
19,500,500,4829.9995,2116.5098,1857.4998,208651,0,28.8150,48.7353,94.9919,0.1095
20,500,500,4649.9995,2122.2197,1852.4998,209222,0,28.8371,48.8566,95.0791,0.1096
21,500,500,4659.9995,2115.1797,1847.4998,208518,0,28.8633,48.7681,94.9640,0.1096
22,500,500,4754.9995,2121.6396,1857.4998,209164,0,28.9080,48.1176,95.0775,0.1095
23,500,500,4674.9995,2122.0398,1862.4998,209204,0,28.9807,48.0320,95.3487,0.1096
24,500,500,4649.9995,2123.0098,1849.9998,209301,0,28.9877,48.1425,95.0312,0.1096
25,500,500,4614.9995,2130.7798,1857.4998,210078,0,29.0520,47.8508,94.8910,0.1092
26,500,500,4699.9995,2118.3298,1829.9998,208833,0,29.0998,47.4700,94.9935,0.1093
27,500,500,4654.9995,2126.6196,1834.9998,209662,0,29.0848,47.3404,95.0188,0.1091
28,500,500,4749.9995,2128.1897,1857.4998,209819,0,29.1367,47.9028,95.0847,0.1094
29,500,500,4729.9995,2134.8398,1859.9998,210484,0,29.1373,47.9090,95.2533,0.1094
30,500,500,4769.9995,2131.6697,1844.9998,210167,0,29.2055,47.7903,95.3842,0.1096
31,500,500,4859.9995,2135.8198,1864.9998,210582,0,29.1875,47.7524,95.4819,0.1091
32,500,500,4869.9995,2128.7798,1844.9998,209878,0,29.1787,47.6693,95.5189,0.1095
33,500,500,4749.9995,2138.6196,1839.9998,210862,0,29.2033,47.8208,95.7367,0.1097
34,500,500,4669.9995,2127.6497,1834.9998,209765,0,29.2231,47.7809,95.7118,0.1095
35,500,500,4839.9995,2130.0098,1829.9998,210001,0,29.2476,47.9430,95.8833,0.1093
36,500,500,4849.9995,2127.8696,1842.4998,209787,0,29.2542,47.9094,96.0936,0.1092
37,500,500,4799.9995,2136.9897,1862.4998,210699,0,29.2778,48.2931,96.0924,0.1089
38,500,500,4739.9995,2138.7598,1849.9998,210876,0,29.2516,48.1556,96.5136,0.1089
39,500,500,4889.9995,2130.7798,1839.9998,210078,0,29.2430,48.4325,96.4437,0.1091
40,500,500,4774.9995,2135.4797,1844.9998,210548,0,29.2343,48.4314,96.2047,0.1091
41,500,500,4729.9995,2132.1396,1867.4998,210214,0,29.2653,48.6869,96.2102,0.1086
42,500,500,4849.9995,2130.1797,1844.9998,210018,0,29.2228,48.8706,96.0492,0.1089
43,500,500,4574.9995,2128.4897,1844.9998,209849,0,29.2239,48.8221,96.0636,0.1091
44,500,500,5034.9995,2130.1797,1847.4998,210018,0,29.2427,48.9256,95.6852,0.1091
45,500,500,4854.9995,2122.2598,1837.4998,209226,0,29.2368,48.9721,95.9378,0.1089
46,500,500,4809.9995,2139.4097,1852.4998,210941,0,29.2131,49.0093,96.2526,0.1087
47,500,500,4794.9995,2130.5198,1834.9998,210052,0,29.2259,48.8559,96.4672,0.1083
48,500,500,4874.9995,2129.0398,1847.4998,209904,0,29.2295,48.8889,96.6859,0.1087
49,500,500,4799.9995,2123.9097,1839.9998,209391,0,29.2041,48.9858,96.6210,0.1089
50,500,500,4764.9995,2129.0398,1839.9998,209904,0,29.1818,49.1033,96.6907,0.1092
51,500,500,4854.9995,2120.6396,1832.4998,209064,0,29.1460,49.0624,96.6483,0.1091
52,500,500,4834.9995,2126.4397,1824.9998,209644,0,29.1243,48.8181,96.4854,0.1091
53,500,500,4824.9995,2124.4897,1829.9998,209449,0,29.1081,48.4134,96.8292,0.1094
54,500,500,4749.9995,2120.7197,1829.9998,209072,0,29.1779,48.2332,96.7880,0.1095
55,500,500,4669.9995,2128.2998,1854.9998,209830,0,29.1978,48.0604,96.8461,0.1093
56,500,500,4559.9995,2133.1099,1849.9998,210311,0,29.1435,47.9889,97.2530,0.1089
57,500,500,4799.9995,2121.2297,1839.9998,209123,0,29.1690,48.1567,97.1382,0.1085
58,500,500,4744.9995,2127.6396,1847.4998,209764,0,29.1188,48.4856,97.1611,0.1084
59,500,500,4589.9995,2132.5098,1859.9998,210251,0,29.1273,48.3047,97.2206,0.1087
60,500,500,4615.0166,2127.5645,1855.0164,209755,0,29.1421,48.2668,97.2356,0.1090
61,500,500,4769.9995,2114.7598,1842.4998,208476,0,29.1121,48.0853,97.2041,0.1086
62,500,500,4904.9995,2128.3696,1839.9998,209837,0,29.1159,48.4772,97.1562,0.1084
63,500,500,4579.9995,2131.6099,1824.9998,210161,0,29.0773,48.5921,97.2963,0.1085
64,500,500,4834.9995,2123.3499,1847.4998,209335,0,29.1026,48.5172,97.2672,0.1084
65,500,500,4509.9995,2133.1396,1872.4998,210314,0,29.1586,48.0474,97.3093,0.1085
66,500,500,4834.9995,2132.9097,1849.9998,210291,0,29.1427,48.1078,97.0537,0.1083
67,500,500,4594.9995,2123.9697,1837.4998,209397,0,29.1443,48.2606,97.3165,0.1083
68,500,500,4604.9995,2127.8298,1844.9998,209783,0,29.1932,48.3325,96.9573,0.1087
69,500,500,4794.9995,2142.3796,1879.9998,211238,0,29.2078,48.4725,97.0665,0.1083
70,500,500,4624.9995,2137.1797,1832.4998,210718,0,29.2620,48.6116,97.1429,0.1081
71,500,500,4954.9995,2126.0198,1834.9998,209602,0,29.2384,48.6175,96.7369,0.1084
72,500,500,4669.9995,2132.4797,1827.4998,210248,0,29.2566,48.5309,96.5769,0.1081
73,500,500,4569.9995,2129.2498,1844.9998,209925,0,29.3006,48.4768,96.8097,0.1083
74,500,500,4534.9995,2128.5298,1847.4998,209853,0,29.3020,48.4026,96.3183,0.1085
75,500,500,4714.9995,2137.5298,1844.9998,210753,0,29.3543,48.1329,96.1426,0.1087
76,500,500,4809.9995,2132.5898,1834.9998,210259,0,29.3243,47.9959,96.2767,0.1086
77,500,500,4774.9995,2134.2197,1839.9998,210422,0,29.3237,48.0746,96.4199,0.1087
78,500,500,4689.9995,2130.3198,1837.4998,210032,0,29.3138,47.9159,96.3139,0.1081
79,500,500,4954.9995,2130.6797,1834.9998,210068,0,29.3231,47.4764,96.0643,0.1084
80,500,500,4764.9995,2132.5999,1842.4998,210260,0,29.3309,47.2560,96.3207,0.1085
81,500,500,4849.9995,2138.2097,1839.9998,210821,0,29.3490,47.0608,96.7211,0.1084
82,500,500,4714.9995,2131.6797,1834.9998,210168,0,29.2876,47.2699,96.8056,0.1084
83,500,500,4814.9995,2133.7498,1852.4998,210375,0,29.3020,46.9859,97.0601,0.1081
84,500,500,4834.9995,2133.3696,1859.9998,210337,0,29.2734,46.8589,97.5230,0.1082
85,500,500,4854.9995,2137.5298,1852.4998,210753,0,29.2985,46.8315,97.2417,0.1087
86,500,500,4409.9995,2140.4197,1849.9998,211042,0,29.3216,46.9158,97.5620,0.1089
87,500,500,4889.9995,2125.6296,1839.9998,209563,0,29.3268,46.8264,97.6381,0.1090
88,500,500,4704.9995,2128.6497,1839.9998,209865,0,29.3618,46.7545,97.7654,0.1090
89,500,500,4609.9995,2141.3896,1859.9998,211139,0,29.3773,46.5047,97.9387,0.1089
90,500,500,4879.9995,2131.1797,1827.4998,210118,0,29.3405,46.1367,98.1371,0.1084
91,500,500,4764.9995,2129.5999,1837.4998,209960,0,29.3436,46.2680,98.2822,0.1084
92,500,500,4734.9995,2130.7498,1849.9998,210075,0,29.3749,46.6154,98.3406,0.1084
93,500,500,4669.9995,2132.0999,1839.9998,210210,0,29.3570,46.4632,98.5857,0.1084
94,500,500,4899.9995,2133.4697,1854.9998,210347,0,29.3342,46.7430,98.4338,0.1084
95,500,500,4929.9995,2131.0098,1844.9998,210101,0,29.2837,46.9218,98.0413,0.1087
96,500,500,4859.9995,2125.0798,1847.4998,209508,0,29.2896,47.1124,98.2583,0.1089
97,500,500,4849.9995,2126.2397,1812.4998,209624,0,29.2353,46.9219,98.5201,0.1089
98,500,500,4884.9995,2127.4597,1844.9998,209746,0,29.2193,46.7146,97.8594,0.1089
