generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,3,152.9164,25.7073,11.2000,105,46,18.6693,50.0896,95.9215,0.1050,10.0987,29.3073,4.9276,101.5884,51.6678,143.9263
2,50,4,146.6664,25.1606,5.4083,107,46,23.2905,55.6264,94.2988,0.1030,15.8171,29.3900,10.8412,98.6052,63.2915,141.6521
3,50,23,149.9997,59.9559,69.9997,377,27,25.7637,55.9132,90.0111,0.1060,21.5092,28.9819,22.4431,85.1123,73.8779,128.7216
4,50,46,159.9997,105.1437,104.9997,757,4,26.7186,49.8588,89.7592,0.1093,23.9383,28.4407,21.8452,79.0944,76.0372,108.6871
5,50,50,159.9997,115.5997,114.9997,856,0,27.1033,53.5540,92.3649,0.1116,25.4836,28.5192,32.2912,79.0944,78.9845,111.8863
6,50,50,159.9997,111.0997,109.9997,811,0,26.7656,55.4695,94.2000,0.1107,24.6860,28.1362,40.8848,72.9849,81.6117,109.3197
7,50,50,169.9997,120.4997,114.9997,905,0,26.8698,57.7060,94.8545,0.1095,25.4014,28.9186,48.3398,70.6855,87.1532,104.0732
8,50,50,189.9997,123.1997,119.9997,932,0,26.7653,57.9521,94.6507,0.1088,24.9175,27.6399,49.2871,63.8181,86.8033,106.8080
9,50,50,164.9997,120.4997,122.4997,905,0,27.0335,59.1273,96.9324,0.1081,25.8778,28.4312,52.9658,64.7937,85.5342,111.0006
10,50,50,174.9997,120.0997,114.9997,901,0,27.2159,59.0883,96.2149,0.1066,25.8277,29.3513,50.4507,62.2558,87.6834,108.4326
11,50,50,154.9997,117.9997,119.9997,880,0,27.1831,59.5985,96.2887,0.1076,25.1536,29.4862,51.4577,67.3216,87.8505,110.6082
12,50,50,174.9997,119.8997,119.9997,899,0,27.0722,58.5271,96.2576,0.1070,25.3644,28.5779,53.1771,62.5088,87.3137,103.2380
13,50,50,169.9997,118.8997,119.9997,889,0,27.0040,58.9991,97.6566,0.1070,24.4198,28.5622,50.4221,67.8697,90.5625,106.3401
14,50,50,169.9997,121.0997,119.9997,911,0,27.0354,59.2027,97.6197,0.1070,24.6620,28.4284,52.5617,65.2218,89.0825,100.9695
15,50,50,194.9997,119.6997,119.9997,897,0,26.9536,59.2576,96.8654,0.1069,25.7246,28.5981,50.2027,66.9679,88.4312,107.1057
16,50,50,159.9997,122.3997,119.9997,924,0,27.3008,59.9105,97.7331,0.1070,25.9956,28.6032,52.9383,66.5412,88.2121,109.2079
17,50,50,154.9997,117.4997,114.9997,875,0,27.3674,59.1703,99.9171,0.1080,25.2679,28.9143,49.5148,64.2751,90.4251,109.8161
18,50,50,169.9997,123.2997,122.4997,933,0,27.5403,58.1229,99.8876,0.1071,26.3507,28.8960,47.3636,64.7244,89.3511,108.8047
19,50,50,154.9997,119.4997,119.9997,895,0,27.3605,59.1010,98.7598,0.1074,25.8583,29.1268,49.8965,67.9881,94.6182,105.9520
20,50,50,154.9997,123.3997,124.9997,934,0,27.3591,57.7796,98.9790,0.1062,25.5669,29.2668,50.7828,62.2236,92.1675,108.4033
21,50,50,164.9997,118.0997,109.9997,881,0,27.2469,58.1256,98.0081,0.1055,25.5879,28.9887,49.6296,67.4822,90.8031,111.2758
22,50,50,154.9997,120.8997,117.4997,909,0,27.2111,58.5522,96.8597,0.1054,25.5949,28.0515,51.7903,68.0790,87.6138,103.7278
23,50,50,149.9997,119.7997,114.9997,898,0,27.1394,58.3617,96.8289,0.1069,25.9601,28.5694,47.0754,64.7062,91.2295,102.5381
24,50,50,159.9997,121.0997,119.9997,911,0,27.1270,57.3376,97.1268,0.1069,26.0025,28.1013,47.0754,63.4138,88.2760,101.9232
25,50,50,179.9997,118.0997,119.9997,881,0,27.0968,57.6354,97.9119,0.1079,25.6941,28.5651,43.8601,65.7526,90.9672,106.1827
26,50,50,179.9997,115.3997,112.4997,854,0,27.2241,58.4561,97.0918,0.1089,26.3763,29.2332,53.9012,66.6900,87.7531,106.8733
27,50,50,154.9997,117.4997,117.4997,875,0,27.2209,57.9839,96.4611,0.1108,26.0957,28.5646,46.0195,62.8577,84.6524,105.5866
28,50,50,164.9997,118.0997,112.4997,881,0,27.1446,59.3240,96.6827,0.1094,24.8736,28.8677,54.1601,67.8000,88.9588,106.0486
29,50,50,164.9997,120.7997,119.9997,908,0,26.9538,59.5562,97.0459,0.1094,24.8736,29.4191,51.8152,71.7478,89.5205,108.4766
30,50,50,184.9997,119.3997,119.9997,894,0,26.8286,59.5607,98.1992,0.1089,25.9937,27.8171,48.7086,71.4575,88.8269,108.4766
