generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,4,210.0164,25.7546,6.1667,109,45,20.2942,48.9179,88.9113,0.0982,10.0081,29.9790,3.4403,98.2775,51.1784,149.4281
2,50,7,184.9997,34.6020,10.5417,186,43,24.0650,43.4091,94.2025,0.0964,12.4078,30.0000,11.3616,85.4209,56.2849,149.4281
3,50,16,174.9997,57.9819,28.0000,380,33,27.0831,44.7777,94.6544,0.0997,17.6011,30.0000,23.5413,73.9803,67.4222,132.6640
4,50,42,189.9997,109.5591,124.9997,822,8,28.4525,46.2003,96.9284,0.1009,23.0912,30.0000,29.9449,68.4668,76.9911,114.2882
5,50,50,189.9997,140.8996,144.9997,1109,0,28.8372,49.5421,99.0208,0.1000,25.3038,30.0000,36.3020,65.2648,87.3556,111.5081
6,50,50,199.9997,142.6996,139.9997,1127,0,29.2272,50.7813,98.8296,0.0992,26.4238,30.0000,40.5160,62.6640,90.6872,114.5768
7,50,50,199.9997,141.5997,139.9997,1116,0,29.1544,52.6750,99.4812,0.0994,27.3247,30.0000,42.7918,65.3612,90.0828,110.1068
8,50,50,184.9997,140.6996,144.9997,1107,0,29.1159,52.6319,99.5256,0.1016,27.7633,29.9606,47.1987,59.9007,93.5609,105.9453
9,50,50,184.9997,141.0997,139.9997,1111,0,29.1826,52.9293,99.8334,0.1024,27.1483,30.0000,42.8551,62.1977,92.9414,108.8562
10,50,50,194.9997,142.0997,139.9997,1121,0,29.2190,52.4213,100.0615,0.1029,27.9685,29.9537,42.2640,61.2132,93.7048,108.5353
11,50,50,204.9997,145.2996,144.9997,1153,0,29.1502,53.3262,101.2317,0.1021,26.9970,29.7388,44.1900,63.3397,93.3253,107.9740
12,50,50,199.9997,139.1996,134.9997,1092,0,29.2078,53.5398,101.3481,0.1014,28.0440,30.0000,46.6001,65.4661,92.7434,103.6443
13,50,50,189.9997,150.6996,147.4997,1207,0,29.2234,53.2087,101.0046,0.1029,27.7744,30.0000,40.1109,62.6426,95.5265,110.2206
14,50,50,219.9997,147.1996,149.9997,1172,0,29.0204,53.3255,101.6613,0.1029,27.0844,29.8111,42.3312,62.6274,98.8614,108.7551
15,50,50,184.9997,147.9996,154.9997,1180,0,29.1974,53.6344,101.1916,0.1022,27.2470,30.0000,47.9855,63.7951,93.8084,110.4734
16,50,50,199.9997,152.3996,149.9997,1224,0,29.1390,55.5651,101.4110,0.1020,26.9729,30.0000,50.0938,62.9756,90.2125,110.4686
17,50,50,199.9997,144.7997,142.4997,1148,0,29.2663,56.9001,100.2989,0.1018,26.9044,30.0000,45.8768,68.3082,92.4458,108.5859
18,50,50,194.9997,151.3996,144.9997,1214,0,29.3786,56.8357,98.5344,0.1018,28.1139,30.0000,47.6167,73.8571,90.0691,109.0211
19,50,50,179.9997,142.2997,144.9997,1123,0,29.3300,56.5091,97.4960,0.1023,28.3693,29.9428,49.1839,66.1785,83.8411,103.3436
20,50,50,194.9997,148.4996,149.9997,1185,0,29.4704,58.3393,98.2835,0.1008,29.0410,30.0000,48.7877,67.7611,90.9606,106.5143
21,50,50,204.9997,141.3996,134.9997,1114,0,29.3287,58.5183,98.6679,0.1003,27.5634,30.0000,48.7075,68.9340,87.3698,109.6408
22,50,50,194.9997,149.6996,149.9997,1197,0,29.3308,58.2830,98.3486,0.1010,27.3852,30.0000,49.8282,67.2127,85.2686,105.0168
23,50,50,199.9997,154.8996,157.4997,1249,0,29.3835,57.9687,99.3129,0.1021,27.9266,30.0000,50.4689,65.4437,91.6099,105.8191
24,50,50,194.9997,147.8996,144.9997,1179,0,29.4771,58.9052,100.8057,0.1025,27.7279,30.0000,48.0433,69.8778,90.1919,109.3202
25,50,50,194.9997,149.3996,149.9997,1194,0,29.4732,58.8975,100.2665,0.1019,28.2366,30.0000,47.2478,66.9134,93.1153,109.0521
26,50,50,209.9997,160.9996,159.9997,1310,0,29.5600,58.0502,101.1192,0.1024,27.7023,30.0000,52.0062,64.0942,96.1481,110.2344
27,50,50,189.9997,152.3996,149.9997,1224,0,29.6456,58.3508,100.9362,0.1024,29.3215,30.0000,46.2533,67.6538,93.3134,109.3169
28,50,50,194.9997,150.1996,147.4997,1202,0,29.6386,59.1916,100.5601,0.1017,29.2611,30.0000,51.0864,67.8161,91.0581,109.1452
29,50,50,194.9997,148.4996,147.4997,1185,0,29.5657,59.3554,101.5508,0.1009,27.8081,30.0000,53.2622,67.2567,90.5588,114.5096
30,50,50,234.9997,157.7996,154.9997,1278,0,29.5235,59.3569,101.8271,0.1015,27.9643,30.0000,49.5384,69.6971,90.7004,111.6164
