generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean
1,50,4,135.0164,22.2280,6.0833,75,44,19.3969,53.2703,106.6728,0.0922
2,50,6,134.9997,28.2620,7.0333,125,44,23.8030,53.2285,99.6315,0.0986
3,50,32,144.9997,67.3232,79.9997,436,17,25.5873,45.9705,90.5943,0.1001
4,50,50,184.9997,107.1997,104.9997,772,0,26.4801,51.5389,89.7983,0.1068
5,50,50,154.9997,107.4997,109.9997,775,0,26.9369,52.4722,89.0482,0.1112
6,50,50,159.9997,111.4997,109.9997,815,0,27.0292,53.5034,89.9653,0.1134
7,50,50,154.9997,110.2997,107.4997,803,0,27.4421,54.0632,88.7722,0.1147
8,50,50,159.9997,115.2997,114.9997,853,0,27.4788,55.2120,88.9258,0.1153
9,50,50,149.9997,113.1997,114.9997,832,0,27.5521,55.1115,89.2926,0.1171
10,50,50,154.9997,118.9997,114.9997,890,0,27.5792,54.7741,89.3109,0.1188
11,50,50,179.9997,124.1997,119.9997,942,0,27.5159,54.7345,88.5344,0.1192
12,50,50,154.9997,113.3997,114.9997,834,0,27.5615,54.4550,87.8245,0.1191
13,50,50,154.9997,120.5997,119.9997,906,0,27.7653,55.0223,88.0213,0.1190
14,50,50,164.9997,117.6997,117.4997,877,0,27.8176,55.1322,88.4198,0.1188
15,50,50,149.9997,116.3997,114.9997,864,0,27.8614,56.2932,87.6469,0.1202
16,50,50,194.9997,117.2997,114.9997,873,0,27.8420,56.3754,87.2936,0.1201
17,50,50,179.9997,116.6997,114.9997,867,0,27.8046,56.6261,87.0562,0.1204
18,50,50,149.9997,118.4997,119.9997,885,0,27.6959,56.7945,87.2099,0.1204
19,50,50,159.9997,116.9997,114.9997,870,0,27.6708,58.1404,85.9149,0.1213
20,50,50,159.9997,125.5997,124.9997,956,0,28.0431,59.8639,86.0687,0.1211
