generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean
1,50,3,185.0164,23.8143,7.2250,90,45,19.3969,53.2703,106.6728,0.0922
2,50,18,144.9997,54.6159,35.3582,336,30,24.1893,53.1697,95.2803,0.0970
3,50,45,159.9997,104.4637,112.4997,760,4,25.9425,51.0830,80.7459,0.0995
4,50,50,169.9997,127.0997,124.9997,971,0,26.0541,60.0885,78.6633,0.0983
5,50,50,184.9997,125.6997,124.9997,957,0,26.1571,61.3067,79.3479,0.0993
6,50,50,189.9997,125.3997,124.9997,954,0,26.3250,61.5969,79.7268,0.1001
7,50,50,159.9997,129.3997,129.9997,994,0,26.1921,63.2932,80.8254,0.0997
8,50,50,179.9997,136.0997,134.9997,1061,0,26.3373,64.8762,81.7308,0.1012
9,50,50,179.9997,128.2997,129.9997,983,0,26.1358,64.4442,81.9048,0.1014
10,50,50,169.9997,131.9997,129.9997,1020,0,26.3567,64.6292,82.5640,0.1016
11,50,50,184.9997,135.3996,132.4997,1054,0,25.9586,65.6236,82.7957,0.1017
12,50,50,189.9997,131.0997,129.9997,1011,0,26.0483,65.4684,83.6631,0.1014
13,50,50,164.9997,130.2997,129.9997,1003,0,26.1374,66.4205,82.4366,0.1004
14,50,50,209.9997,131.7997,129.9997,1018,0,26.1168,67.4802,82.5365,0.0993
15,50,50,184.9997,136.7997,137.4997,1068,0,25.9937,67.1291,82.8683,0.0994
16,50,50,169.9997,132.3997,129.9997,1024,0,26.0245,67.3330,82.1425,0.0982
17,50,50,214.9997,138.6996,134.9997,1087,0,26.0793,66.9123,82.0887,0.0981
18,50,50,184.9997,135.4997,132.4997,1055,0,26.0619,68.7874,82.5221,0.0974
19,50,50,204.9997,135.0997,134.9997,1051,0,26.2052,69.1472,83.6800,0.0982
20,50,50,199.9997,134.9996,134.9997,1050,0,26.2067,68.7813,83.7242,0.0986
