generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean
1,50,3,125.0164,21.3390,6.1167,73,45,19.3969,53.2703,106.6728,0.0922
2,50,4,214.9997,28.5150,6.8667,129,45,23.9979,48.6358,95.9285,0.0951
3,50,27,164.9997,76.2645,89.9997,527,23,26.4540,43.9694,86.3505,0.0966
4,50,47,209.9997,121.8937,119.9997,926,2,26.9526,47.2386,88.0907,0.1035
5,50,50,184.9997,139.3996,139.9997,1094,0,27.4881,50.8323,93.2238,0.1120
6,50,50,199.9997,152.4996,149.9997,1225,0,27.7298,53.3204,95.8312,0.1153
7,50,50,219.9997,155.0996,157.4997,1251,0,28.0228,55.0400,94.9726,0.1172
8,50,50,209.9997,151.4996,149.9997,1215,0,28.1661,55.3991,94.9953,0.1174
9,50,50,204.9997,145.9996,144.9997,1160,0,28.1254,54.2955,93.5671,0.1174
10,50,50,189.9997,147.4996,149.9997,1175,0,28.2237,53.9827,93.7998,0.1184
11,50,50,189.9997,157.3996,159.9997,1274,0,28.4069,54.4685,92.9279,0.1192
12,50,50,229.9997,157.8996,159.9997,1279,0,28.7545,55.8142,92.5709,0.1200
13,50,50,219.9997,158.5996,154.9997,1286,0,28.7388,55.4056,91.7832,0.1193
14,50,50,224.9997,161.7996,159.9997,1318,0,28.8648,55.3954,92.7145,0.1195
15,50,50,229.9997,139.0997,134.9997,1091,0,28.9882,55.2002,92.5804,0.1197
16,50,50,199.9997,146.7997,144.9997,1168,0,28.8743,55.0267,92.2322,0.1200
17,50,50,219.9997,160.5996,159.9997,1306,0,28.9318,55.4723,92.5587,0.1208
18,50,50,214.9997,161.2996,162.4997,1313,0,28.9427,56.2879,93.7957,0.1203
19,50,50,219.9997,164.5996,159.9997,1346,0,28.9774,56.1922,93.6264,0.1203
20,50,50,209.9997,155.1996,154.9997,1252,0,28.9082,55.6142,94.4546,0.1210
