generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean
1,50,2,146.9166,22.5636,6.3167,80,46,19.3969,53.2703,106.6728,0.0922
2,50,11,174.9997,44.6096,27.9417,253,38,24.0153,51.2615,96.0161,0.0963
3,50,46,184.9997,103.3837,104.9997,743,4,25.9394,54.7426,83.5297,0.0991
4,50,50,154.9997,116.3997,114.9997,864,0,26.8059,56.1573,83.8721,0.1029
5,50,50,149.9997,118.5997,119.9997,886,0,26.8100,60.2020,83.4908,0.1047
6,50,50,174.9997,123.9997,124.9997,940,0,26.7674,60.8744,84.0392,0.1027
7,50,50,184.9997,121.7997,119.9997,918,0,26.8825,62.4203,84.5621,0.1041
8,50,50,154.9997,121.1997,119.9997,912,0,26.9218,61.7304,85.2801,0.1046
9,50,50,164.9997,125.5997,124.9997,956,0,27.1064,61.7772,85.4436,0.1045
10,50,50,174.9997,127.9997,127.4997,980,0,27.1057,61.2526,85.5053,0.1040
11,50,50,149.9997,123.2997,124.9997,933,0,27.1443,61.5086,84.5985,0.1047
12,50,50,184.9997,131.0997,129.9997,1011,0,27.1907,63.2562,84.7166,0.1054
13,50,50,169.9997,129.4997,127.4997,995,0,27.2394,64.3329,84.6631,0.1055
14,50,50,169.9997,125.7997,124.9997,958,0,27.3025,65.0904,83.5868,0.1069
15,50,50,174.9997,126.0997,124.9997,961,0,27.2092,65.0911,83.7396,0.1058
16,50,50,164.9997,125.5997,129.9997,956,0,27.3166,65.2020,83.2662,0.1058
17,50,50,214.9997,132.0997,129.9997,1021,0,27.5235,65.3171,83.5614,0.1064
18,50,50,174.9997,131.3997,129.9997,1014,0,27.6117,66.7504,83.9790,0.1063
19,50,50,194.9997,133.8997,134.9997,1039,0,27.6684,65.9928,84.0478,0.1074
20,50,50,179.9997,131.7997,124.9997,1018,0,27.9203,66.5975,83.6554,0.1079
