generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean
1,50,3,165.0164,23.1300,6.1000,86,45,19.3969,53.2703,106.6728,0.0922
2,50,8,119.9997,32.7369,10.4083,162,42,24.1962,54.4314,100.5261,0.1005
3,50,16,174.9997,46.9626,25.1750,274,33,25.9839,46.5600,92.8686,0.1048
4,50,41,149.9997,96.1024,104.9997,685,9,26.7243,40.3043,87.2341,0.1094
5,50,49,149.9997,105.3330,99.9997,754,0,27.2871,41.1622,84.7289,0.1091
6,50,50,159.9997,109.9997,109.9997,800,0,27.1617,44.5475,86.8779,0.1093
7,50,50,159.9997,121.1997,122.4997,912,0,27.2394,44.5458,85.8325,0.1089
8,50,50,164.9997,113.4997,117.4997,835,0,27.2500,45.3452,86.6110,0.1088
9,50,50,159.9997,110.8997,114.9997,809,0,27.4623,45.4515,86.9677,0.1087
10,50,50,164.9997,119.4997,119.9997,895,0,27.3870,46.2839,86.8032,0.1099
11,50,50,159.9997,114.7997,114.9997,848,0,27.3117,46.1043,88.1599,0.1104
12,50,50,139.9997,109.4997,109.9997,795,0,27.3031,45.8985,87.4547,0.1105
13,50,50,174.9997,115.8997,114.9997,859,0,27.2053,46.2252,87.4957,0.1105
14,50,50,164.9997,115.6997,114.9997,857,0,27.2777,46.3816,87.5456,0.1100
15,50,50,169.9997,121.6997,119.9997,917,0,27.5618,46.5635,87.0226,0.1095
16,50,50,159.9997,118.8997,117.4997,889,0,27.5312,46.7129,86.4137,0.1106
17,50,50,174.9997,119.2997,114.9997,893,0,27.4408,46.8192,85.1574,0.1105
18,50,50,154.9997,113.6997,112.4997,837,0,27.3431,46.8377,84.6036,0.1103
19,50,50,159.9997,115.3997,114.9997,854,0,27.5152,47.3725,84.8155,0.1106
20,50,50,189.9997,120.6997,119.9997,907,0,27.7543,47.4208,84.9909,0.1116
