generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,5,200.0164,31.6506,7.4750,158,44,18.9742,45.3908,103.9961,0.1015,10.0786,29.6701,3.4154,101.7807,51.4926,146.4422
2,50,6,239.9997,37.1516,7.3417,215,44,24.5664,49.2278,92.0181,0.1050,17.7849,29.6701,8.8498,84.9387,54.7245,146.2798
3,50,15,224.9997,59.5949,46.8249,394,31,26.4848,51.3831,88.5094,0.1149,21.0645,29.6701,21.8667,84.9387,63.3691,146.2798
4,50,41,239.9997,136.1384,149.9997,1086,8,27.6413,61.5688,85.3880,0.1212,23.5310,30.0000,41.0425,84.9387,62.1157,135.1831
5,50,49,229.9997,169.7093,164.9997,1401,1,28.5118,72.0038,83.3397,0.1282,26.2677,30.0000,51.0581,90.8666,66.8764,108.3449
6,50,50,229.9997,189.7997,194.9997,1598,0,28.6986,74.6680,83.2351,0.1312,26.3591,30.0000,59.4903,89.1959,68.7039,105.4175
7,50,50,249.9997,180.8997,179.9997,1509,0,28.6800,75.8836,85.4106,0.1332,26.4097,30.0000,68.0383,83.6467,75.7445,100.0480
8,50,50,264.9997,181.2997,184.9997,1513,0,28.8858,75.6306,84.9996,0.1337,28.1144,30.0000,64.9427,85.0813,77.9087,90.4514
9,50,50,239.9997,182.9997,182.4997,1530,0,28.9941,75.4262,84.6665,0.1338,27.4997,29.9552,67.4962,81.9122,76.6459,93.3953
10,50,50,229.9997,176.8996,177.4997,1469,0,29.1633,75.4804,84.3067,0.1334,27.5998,30.0000,66.2458,85.1016,73.8419,95.6604
11,50,50,224.9997,186.2997,189.9997,1563,0,29.2680,75.4188,84.4420,0.1331,28.8750,30.0000,69.8235,84.4833,72.8323,92.0686
12,50,50,274.9997,186.1997,179.9997,1562,0,29.1608,76.0421,86.1907,0.1330,27.5118,30.0000,67.2567,83.1710,78.3030,97.0773
13,50,50,249.9997,182.1997,179.9997,1522,0,29.1933,76.0366,84.8755,0.1328,27.4244,30.0000,70.2187,80.6650,73.9393,91.5574
14,50,50,234.9997,190.4997,192.4997,1605,0,29.2524,74.5152,85.8213,0.1339,28.0331,30.0000,67.7686,81.2624,75.5339,93.8421
15,50,50,239.9997,178.3996,174.9997,1484,0,29.3289,74.6778,85.6994,0.1327,28.5485,30.0000,66.8873,82.7402,78.5905,94.3067
16,50,50,239.9997,189.3997,189.9997,1594,0,29.3447,74.4967,85.8304,0.1328,28.1097,30.0000,63.3240,83.3748,79.9046,94.9054
17,50,50,234.9997,187.6997,187.4997,1577,0,29.3623,74.9127,86.3897,0.1331,28.3158,30.0000,66.7094,81.7531,80.6145,93.8561
18,50,50,254.9997,185.5997,184.9997,1556,0,29.3778,75.2343,87.4078,0.1318,27.8528,30.0000,68.6289,84.1329,82.7691,97.4551
19,50,50,274.9997,197.5997,199.9997,1676,0,29.4398,75.2561,88.8534,0.1311,27.9404,30.0000,67.4927,83.3750,81.1820,97.7893
20,50,50,224.9997,178.8996,184.9997,1489,0,29.4071,75.4824,88.5773,0.1316,28.4984,30.0000,66.7961,85.0419,78.8359,97.6878
21,50,50,224.9997,188.4997,189.9997,1585,0,29.3614,75.1973,88.3273,0.1319,27.2484,30.0000,66.1787,82.9623,82.8039,96.2930
22,50,50,249.9997,190.2997,189.9997,1603,0,29.3720,75.5157,88.6368,0.1322,28.1995,29.9786,68.9976,84.1517,78.6081,99.3643
23,50,50,229.9997,176.5997,174.9997,1466,0,29.3217,75.3738,89.3936,0.1325,27.4393,30.0000,70.6925,84.2463,79.5057,100.1444
24,50,50,274.9997,194.6997,189.9997,1647,0,29.4815,75.1875,89.3827,0.1327,28.4215,30.0000,68.0134,81.3258,79.7458,94.7649
25,50,50,249.9997,197.4997,197.4997,1675,0,29.4800,75.1088,89.5626,0.1318,27.4932,30.0000,66.5679,85.0759,82.4808,96.3557
26,50,50,239.9997,191.4997,189.9997,1615,0,29.4616,75.2320,88.8423,0.1318,27.6289,30.0000,65.0591,89.6688,81.2226,93.5346
27,50,50,244.9997,193.5997,194.9997,1636,0,29.5477,76.2986,89.2373,0.1333,27.5838,30.0000,62.5569,85.9925,77.8281,97.4015
28,50,50,244.9997,190.1997,192.4997,1602,0,29.5786,76.3460,89.9785,0.1332,27.7714,30.0000,68.2796,85.7067,83.5174,100.7256
29,50,50,249.9997,181.7997,179.9997,1518,0,29.6811,75.8963,88.9232,0.1332,29.1980,30.0000,68.0786,80.6301,78.4448,93.9373
30,50,50,254.9997,197.8997,197.4997,1679,0,29.7263,75.8852,88.7944,0.1335,29.2104,30.0000,70.0617,79.7296,81.1719,99.0565
