generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,4,139.8333,25.4863,9.4833,96,45,20.7214,50.1206,97.6808,0.1041,10.0475,29.6290,3.3671,100.5596,50.9413,145.5671
2,50,8,144.9997,30.1169,10.3417,147,40,24.3477,46.0374,95.0556,0.1011,14.7041,29.6196,7.2394,88.4860,53.6285,144.4173
3,50,35,144.9997,81.1348,99.9997,559,15,27.0311,53.0446,101.5980,0.1019,23.0786,29.7340,21.1809,75.0032,56.4938,130.0246
4,50,50,159.9997,116.3997,114.9997,864,0,27.4612,51.4877,100.1731,0.1040,25.1297,28.9660,33.7460,76.5957,63.6473,120.4655
5,50,50,154.9997,110.8997,109.9997,809,0,27.4956,50.6801,99.5635,0.1046,25.1297,28.7863,40.9632,76.5957,82.3734,117.5952
6,50,50,194.9997,118.7997,119.9997,888,0,27.7236,54.2356,98.3149,0.1084,25.0950,29.4634,39.1656,76.5957,81.9315,115.5377
7,50,50,154.9997,115.1997,114.9997,852,0,27.7348,55.2067,97.9497,0.1095,26.0410,29.0251,44.0233,64.9698,86.9237,111.7556
8,50,50,174.9997,115.4997,112.4997,855,0,27.7402,54.5232,98.8362,0.1100,25.2735,29.5170,43.4021,67.1734,87.7875,108.8319
9,50,50,184.9997,116.1997,114.9997,862,0,27.6153,55.0908,98.5033,0.1088,25.8426,29.2482,49.4187,61.3956,89.2790,108.4034
10,50,50,149.9997,112.8997,114.9997,829,0,27.5838,55.1874,99.2024,0.1095,25.9749,29.7622,43.5056,65.1047,92.1433,108.7649
11,50,50,154.9997,110.8997,109.9997,809,0,27.5863,56.1829,99.2142,0.1096,25.6706,29.5026,45.4184,62.8221,88.5159,108.8139
12,50,50,174.9997,115.5997,112.4997,856,0,27.4594,57.1357,100.3959,0.1097,25.4059,29.3466,48.1362,61.8210,93.5031,110.0286
13,50,50,169.9997,115.8997,114.9997,859,0,27.7346,57.5846,101.4639,0.1093,25.7878,29.8990,49.8520,66.2036,90.2386,113.0287
14,50,50,169.9997,118.4997,119.9997,885,0,27.9028,57.7831,102.0307,0.1096,25.9068,29.3465,48.4375,65.4454,94.8887,112.5558
15,50,50,154.9997,122.2997,119.9997,923,0,27.8676,59.0304,102.5614,0.1098,25.6594,30.0000,47.6026,67.0501,89.2513,111.5486
16,50,50,154.9997,118.5997,117.4997,886,0,28.0299,58.9975,101.2575,0.1099,26.4809,30.0000,52.5689,66.6326,89.6152,111.5215
17,50,50,174.9997,120.5997,117.4997,906,0,27.9741,59.3838,101.6738,0.1094,26.0560,29.4046,53.9301,66.6326,92.3724,110.5448
18,50,50,159.9997,121.1997,119.9997,912,0,28.0209,60.1455,100.1966,0.1087,25.3443,29.5112,53.7920,65.4309,93.2348,108.6687
19,50,50,169.9997,123.5997,119.9997,936,0,28.1052,59.8143,98.9409,0.1086,26.1000,29.9380,52.5131,65.0325,88.4423,107.2048
20,50,50,149.9997,116.9997,119.9997,870,0,27.9814,60.6828,99.2813,0.1087,25.9921,30.0000,51.2087,69.3029,95.3097,103.2657
21,50,50,184.9997,127.3997,124.9997,974,0,28.2143,61.1978,99.2530,0.1075,26.8764,29.5325,50.6080,67.0743,90.4088,110.0982
22,50,50,164.9997,114.0997,109.9997,841,0,28.0730,61.6112,98.9650,0.1073,26.5376,30.0000,53.6510,68.8410,91.8460,103.4884
23,50,50,184.9997,130.2997,127.4997,1003,0,28.3857,62.7604,98.0123,0.1072,27.0568,30.0000,59.3932,73.3295,87.0314,103.9622
24,50,50,164.9997,127.7997,124.9997,978,0,28.3821,63.7961,97.9799,0.1065,26.5817,30.0000,54.4318,73.7294,91.0959,107.4680
25,50,50,179.9997,129.4997,124.9997,995,0,28.3408,66.2306,98.2595,0.1066,25.6222,30.0000,60.5964,73.7294,93.9558,105.5374
26,50,50,179.9997,132.2997,129.9997,1023,0,28.5410,66.7254,97.6296,0.1065,27.2522,30.0000,56.4918,75.8313,86.8954,106.0256
27,50,50,179.9997,129.8996,124.9997,999,0,28.7826,67.7993,97.7206,0.1054,28.0434,30.0000,61.6317,78.0108,89.4904,105.5370
28,50,50,174.9997,137.9996,134.9997,1080,0,28.9183,68.4401,98.2003,0.1055,28.1774,30.0000,61.8562,75.3925,93.7002,102.4422
29,50,50,159.9997,125.6997,124.9997,957,0,28.9109,69.1968,98.5739,0.1051,27.2267,29.8396,59.6585,75.7635,89.7860,105.4243
30,50,50,179.9997,135.8997,134.9997,1059,0,28.9544,70.0690,98.8386,0.1059,27.8695,30.0000,62.0064,79.9812,93.9197,106.6319
