generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean
1,500,3,209.8167,14.3033,5.0167,368,495,19.8984,52.4504,99.7741,0.0992
2,500,7,203.0500,17.6635,5.0500,664,492,24.5494,50.8686,95.9957,0.1036
3,500,104,974.9997,115.6169,20.1250,9981,396,26.8877,53.5771,95.1402,0.1073
4,500,266,4449.9995,1583.1938,1389.9998,156106,234,27.3597,53.0299,95.0154,0.1082
5,500,490,4629.9995,2079.2144,1902.4998,204949,10,27.5802,52.5184,94.3753,0.1078
6,500,500,4514.9995,2095.7598,1867.4998,206576,0,27.8345,51.9520,93.5692,0.1085
7,500,500,4374.9995,2092.4600,1839.9998,206246,0,27.9704,52.1134,93.3742,0.1087
8,500,500,4264.9995,2098.0999,1869.9998,206810,0,28.0690,51.8863,93.6508,0.1086
9,500,500,4599.9995,2099.1396,1854.9998,206914,0,28.0501,51.9382,93.8279,0.1089
10,500,500,4329.9995,2096.2400,1839.9998,206624,0,28.1218,51.7903,93.7476,0.1085
11,500,500,4339.9995,2102.5798,1854.9998,207258,0,28.2435,51.6634,93.5650,0.1087
12,500,500,4464.9995,2094.7498,1842.4998,206475,0,28.2384,51.7825,93.3390,0.1084
13,500,500,4544.9995,2108.6099,1874.9998,207861,0,28.3159,51.5995,93.1040,0.1083
14,500,500,4449.9995,2107.1296,1857.4998,207713,0,28.3370,51.3535,93.0773,0.1078
15,500,500,4549.9995,2099.6196,1854.9998,206962,0,28.3294,51.5711,92.8358,0.1073
16,500,500,4449.9995,2109.9597,1854.9998,207996,0,28.4217,51.6625,93.0628,0.1072
17,500,500,4614.9995,2107.8298,1844.9998,207783,0,28.4457,51.7315,93.1217,0.1076
18,500,500,4379.9995,2107.5999,1839.9998,207760,0,28.5486,51.6867,93.3307,0.1077
19,500,500,4659.9995,2111.1597,1854.9998,208116,0,28.5886,51.7941,93.4112,0.1079
20,500,500,4619.9995,2113.9197,1844.9998,208392,0,28.5961,51.9157,93.5700,0.1076
21,500,500,4694.9995,2115.6997,1849.9998,208570,0,28.5992,51.9184,93.6679,0.1076
22,500,500,4799.9995,2103.4097,1832.4998,207341,0,28.6300,51.8565,93.6815,0.1075
23,500,500,4804.9995,2119.6897,1844.9998,208969,0,28.6714,52.2778,93.4129,0.1075
24,500,500,4839.9995,2114.9597,1844.9998,208496,0,28.6906,52.2604,93.3175,0.1078
25,500,500,4489.9995,2115.6697,1849.9998,208567,0,28.7056,52.1589,93.2303,0.1079
26,500,500,4834.9995,2115.4397,1854.9998,208544,0,28.7550,52.4788,93.1976,0.1076
27,500,500,4609.9995,2120.9597,1862.4998,209096,0,28.7966,52.3885,93.1700,0.1073
28,500,500,4789.9995,2120.8198,1844.9998,209082,0,28.8250,52.3394,92.9172,0.1071
29,500,500,4619.9995,2116.6196,1862.4998,208662,0,28.8563,52.7851,92.9628,0.1073
30,500,500,4814.9995,2118.0999,1844.9998,208810,0,28.8018,52.8439,93.0202,0.1075
31,500,500,4779.9995,2114.0999,1852.4998,208410,0,28.8606,52.7141,93.4965,0.1076
32,500,500,4804.9995,2124.6497,1832.4998,209465,0,28.9011,52.8907,93.5445,0.1074
33,500,500,4534.9995,2122.4097,1854.9998,209241,0,28.9431,52.9763,93.4029,0.1073
34,500,500,4744.9995,2127.6797,1857.4998,209768,0,28.9309,52.7144,93.1030,0.1074
35,500,500,5044.9995,2128.5298,1849.9998,209853,0,28.9351,52.6933,93.0238,0.1076
36,500,500,4659.9995,2115.1196,1834.9998,208512,0,28.9377,52.6212,92.8919,0.1075
37,500,500,4644.9995,2124.0298,1844.9998,209403,0,28.9953,53.1834,93.0286,0.1075
38,500,500,4539.9995,2131.0098,1864.9998,210101,0,29.0777,53.2548,93.1809,0.1076
39,500,500,4889.9995,2125.7598,1854.9998,209576,0,29.1093,52.9103,93.0818,0.1079
40,500,500,4729.9995,2126.2698,1847.4998,209627,0,29.1700,52.5847,93.3066,0.1078
41,500,500,4769.9995,2126.9297,1854.9998,209693,0,29.1911,52.2979,93.2766,0.1079
42,500,500,4829.9995,2129.9297,1867.4998,209993,0,29.1785,52.1102,93.4692,0.1081
43,500,500,4804.9995,2126.8499,1844.9998,209685,0,29.1473,52.3042,93.8887,0.1082
44,500,500,4729.9995,2126.0198,1844.9998,209602,0,29.1192,52.1702,93.7884,0.1081
45,500,500,4674.9995,2123.9497,1852.4998,209395,0,29.1358,51.9752,93.6274,0.1084
46,500,500,4654.9995,2121.7097,1837.4998,209171,0,29.1239,51.8659,93.7101,0.1088
47,500,500,4584.9995,2129.4998,1867.4998,209950,0,29.1323,51.5625,93.5699,0.1087
48,500,500,4734.9995,2124.4397,1834.9998,209444,0,29.1420,51.2707,93.8752,0.1088
49,500,500,4899.9995,2121.5598,1844.9998,209156,0,29.1638,51.7271,93.5368,0.1090
50,500,500,4609.9995,2130.7498,1849.9998,210075,0,29.1904,51.7312,93.6356,0.1091
51,500,500,4634.9995,2132.0798,1837.4998,210208,0,29.1780,51.8582,93.7097,0.1086
52,500,500,4609.9995,2140.9397,1849.9998,211094,0,29.2062,52.0269,93.6801,0.1084
53,500,500,4989.9995,2124.2598,1832.4998,209426,0,29.1594,51.9605,93.4621,0.1082
54,500,500,4634.9995,2130.9998,1852.4998,210100,0,29.1708,52.1287,93.3170,0.1084
55,500,500,4654.9995,2129.4197,1849.9998,209942,0,29.2003,52.0835,93.5735,0.1085
56,500,500,4639.9995,2136.3098,1844.9998,210631,0,29.2895,52.1855,93.9181,0.1083
57,500,500,4979.9995,2134.3997,1849.9998,210440,0,29.2649,52.1696,93.7918,0.1080
58,500,500,4769.9995,2132.4998,1842.4998,210250,0,29.2365,52.1079,93.7930,0.1081
59,500,500,5004.9995,2129.9197,1859.9998,209992,0,29.2629,52.0610,94.0613,0.1080
60,500,500,4960.0166,2129.1045,1840.0164,209909,0,29.3012,51.8397,93.8793,0.1083
61,500,500,4844.9995,2122.7798,1844.9998,209278,0,29.3516,51.6930,94.1068,0.1085
62,500,500,4669.9995,2136.1697,1849.9998,210617,0,29.3995,51.7328,93.7230,0.1086
63,500,500,4564.9995,2134.0298,1842.4998,210403,0,29.3744,52.1180,93.9157,0.1088
64,500,500,4809.9995,2123.6196,1829.9998,209362,0,29.3485,51.8771,93.5699,0.1089
65,500,500,4959.9995,2132.8599,1832.4998,210286,0,29.3678,51.8401,93.2976,0.1088
66,500,500,4909.9995,2122.3599,1829.9998,209236,0,29.3832,52.0909,92.9290,0.1085
67,500,500,5244.9995,2127.5698,1824.9998,209757,0,29.3623,52.1571,93.0430,0.1088
68,500,500,4719.9995,2121.2197,1837.4998,209122,0,29.3482,52.2406,93.0610,0.1087
69,500,500,4859.9995,2126.3098,1854.9998,209631,0,29.3255,52.2039,92.7765,0.1087
70,500,500,4694.9995,2129.2397,1844.9998,209924,0,29.2597,51.8316,92.6521,0.1087
71,500,500,4674.9995,2130.1697,1839.9998,210017,0,29.2677,51.8076,92.8228,0.1087
72,500,500,4744.9995,2125.2197,1834.9998,209522,0,29.2646,51.6823,93.1377,0.1086
73,500,500,4709.9995,2116.9297,1824.9998,208693,0,29.2323,51.4049,93.3298,0.1088
74,500,500,4679.9995,2130.7197,1859.9998,210072,0,29.2247,51.5577,93.4613,0.1089
75,500,500,4519.9995,2136.5098,1839.9998,210651,0,29.2757,51.3462,93.6232,0.1085
76,500,500,4814.9995,2122.1697,1844.9998,209217,0,29.2589,51.4276,93.9687,0.1082
77,500,500,4544.9995,2137.8896,1857.4998,210789,0,29.2509,51.7409,94.3488,0.1082
78,500,500,4659.9995,2122.6697,1844.9998,209267,0,29.2199,51.8057,94.6175,0.1084
79,500,500,4944.9995,2137.2598,1849.9998,210726,0,29.2427,51.5858,94.1489,0.1082
80,500,500,4724.9995,2125.7097,1829.9998,209571,0,29.2475,51.5018,94.0292,0.1086
81,500,500,5029.9995,2127.7397,1854.9998,209774,0,29.2550,51.4850,94.2029,0.1083
82,500,500,4764.9995,2128.4597,1854.9998,209846,0,29.2532,51.5356,94.2527,0.1085
83,500,500,4769.9995,2127.9397,1854.9998,209794,0,29.2215,51.5747,94.1334,0.1086
84,500,500,5054.9995,2126.7498,1832.4998,209675,0,29.2413,51.0190,93.7351,0.1086
85,500,500,4784.9995,2133.4697,1839.9998,210347,0,29.2492,50.8286,93.8466,0.1084
86,500,500,4699.9995,2118.9097,1829.9998,208891,0,29.2365,50.8935,93.4336,0.1086
87,500,500,4529.9995,2130.4097,1844.9998,210041,0,29.2427,50.9519,93.8062,0.1081
88,500,500,4734.9995,2120.9697,1844.9998,209097,0,29.2517,50.9415,94.2219,0.1081
89,500,500,5139.9995,2129.6797,1849.9998,209968,0,29.2703,51.2394,94.0459,0.1083
90,500,500,4899.9995,2134.6497,1839.9998,210465,0,29.2343,51.0244,94.1835,0.1083
91,500,500,4689.9995,2128.7498,1839.9998,209875,0,29.2417,50.7662,94.0231,0.1086
92,500,500,5069.9995,2141.2498,1834.9998,211125,0,29.2368,50.6475,93.8030,0.1085
93,500,500,4679.9995,2128.0999,1834.9998,209810,0,29.2872,50.6967,93.9777,0.1086
94,500,500,4634.9995,2131.6797,1844.9998,210168,0,29.3463,50.3867,93.3537,0.1087
95,500,500,4569.9995,2128.8098,1834.9998,209881,0,29.3519,50.1686,93.3072,0.1084
96,500,500,4674.9995,2137.3796,1842.4998,210738,0,29.3266,50.2081,93.2573,0.1082
97,500,500,4659.9995,2130.5898,1827.4998,210059,0,29.3092,49.9171,93.0036,0.1078
98,500,500,4624.9995,2127.7698,1839.9998,209777,0,29.2549,49.6539,92.9265,0.1079
99,500,500,4559.9995,2125.0898,1819.9998,209509,0,29.2637,49.9938,92.9631,0.1078
100,500,500,4639.9995,2132.6196,1832.4998,210262,0,29.2741,49.8499,93.1822,0.1077
