generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,14,97.4164,28.2746,6.3583,103,32,19.3969,53.2703,106.6728,0.0922,10.4323,29.8102,3.0294,100.3237,52.2086,147.4975
2,50,20,129.9997,41.5552,39.9914,183,15,24.0553,54.6046,98.7030,0.1030,12.1570,28.9629,11.9933,92.9482,60.6136,141.2542
3,50,47,139.9997,77.3001,72.4997,475,0,26.4849,57.6901,91.4689,0.1084,22.5840,28.5532,31.9330,87.0812,66.2419,132.1075
4,50,50,179.9997,107.8997,104.9997,779,0,26.9111,60.9837,90.5121,0.1130,24.7384,28.6568,38.5865,87.0812,75.2276,114.6577
5,50,50,174.9997,114.0997,109.9997,841,0,26.9865,61.8396,91.9322,0.1174,24.4041,28.8737,42.3310,84.8686,78.9194,106.2416
6,50,50,164.9997,124.1997,122.4997,942,0,27.1297,63.5707,92.2625,0.1179,25.5403,28.0321,53.3300,77.4464,82.8041,104.9317
7,50,50,179.9997,121.9997,119.9997,920,0,27.0262,64.0923,92.3930,0.1187,25.8780,28.2318,49.6756,73.0997,80.6757,100.4796
8,50,50,174.9997,125.4997,122.4997,955,0,26.9948,65.2952,92.9217,0.1174,26.0236,28.5806,55.3099,73.5345,85.1813,97.8890
9,50,50,189.9997,119.9997,119.9997,900,0,27.0454,65.6350,91.6849,0.1169,24.8193,28.7789,55.3099,75.2398,83.0455,96.6653
10,50,50,179.9997,126.0997,124.9997,961,0,27.0730,65.4734,90.7912,0.1173,26.3552,28.6482,58.2719,73.4364,79.1509,97.0911
11,50,50,179.9997,126.1997,124.9997,962,0,27.0215,66.2188,90.6562,0.1175,24.9699,29.4604,57.3422,75.0235,80.5962,99.1433
12,50,50,169.9997,122.0997,117.4997,921,0,27.3468,66.7706,89.6835,0.1169,25.0713,29.3649,61.1406,73.0550,84.1086,93.8139
13,50,50,164.9997,127.7997,129.9997,978,0,27.1168,67.0810,90.0270,0.1165,24.6655,28.1247,56.8772,73.7047,82.7062,100.7969
14,50,50,154.9997,127.3997,119.9997,974,0,27.3027,66.4018,90.9320,0.1174,25.1096,28.8866,56.8772,77.3580,84.5650,98.3474
15,50,50,179.9997,125.7997,124.9997,958,0,27.3373,67.2341,90.2313,0.1176,25.5818,29.2351,59.6253,76.5068,81.4189,93.1306
16,50,50,164.9997,133.0997,134.9997,1031,0,27.4853,67.6213,90.3378,0.1175,26.2377,30.0000,61.6961,71.8366,86.0433,96.6778
17,50,50,199.9997,133.7997,129.9997,1038,0,27.5412,67.2541,90.2186,0.1195,25.6610,30.0000,59.8795,74.6197,84.6586,98.4864
18,50,50,159.9997,124.8997,122.4997,949,0,27.7898,67.6876,90.4983,0.1200,25.4815,30.0000,57.7812,79.0847,81.8011,97.8355
19,50,50,174.9997,129.8997,129.9997,999,0,27.9609,67.3283,90.9565,0.1197,26.3635,29.6190,58.1527,76.2207,83.4111,98.4005
20,50,50,189.9997,138.6997,139.9997,1087,0,28.0411,66.9319,90.6728,0.1198,26.2097,29.4703,54.0886,78.6928,82.0204,99.6206
21,50,50,169.9997,128.2997,129.9997,983,0,28.1819,67.9016,90.2903,0.1191,25.8072,29.9154,57.9928,75.5642,82.9119,97.4413
22,50,50,179.9997,129.3997,124.9997,994,0,28.3250,68.4348,89.7801,0.1190,26.7265,30.0000,57.9710,81.4455,80.4793,102.4785
23,50,50,174.9997,135.5997,134.9997,1056,0,28.3258,68.5059,90.0897,0.1188,27.1280,29.2596,60.5210,83.4472,78.7500,102.4457
24,50,50,164.9997,128.8997,127.4997,989,0,28.5084,69.1345,90.2258,0.1177,27.2504,30.0000,61.6892,79.7761,80.5445,101.5238
25,50,50,189.9997,131.3996,129.9997,1014,0,28.5037,68.6917,89.3932,0.1175,27.2443,29.4320,56.5507,74.0228,80.0452,99.0311
26,50,50,169.9997,131.0997,127.4997,1011,0,28.3409,68.2004,90.0812,0.1179,27.2443,29.7395,52.1192,77.5114,81.4626,101.0142
27,50,50,214.9997,139.0996,137.4997,1091,0,28.4358,67.9183,90.0462,0.1187,26.0851,30.0000,54.3688,76.4223,76.2219,100.7849
28,50,50,194.9997,135.3996,129.9997,1054,0,28.6637,67.2131,90.4751,0.1197,27.5407,30.0000,54.3688,74.9844,85.2064,94.6573
29,50,50,189.9997,139.9996,139.9997,1100,0,28.5739,67.8883,90.4504,0.1198,26.9397,30.0000,58.0240,81.8003,82.9704,95.8849
30,50,50,204.9997,132.0997,129.9997,1021,0,28.5222,67.4671,91.1653,0.1205,27.5234,30.0000,61.7526,79.2608,89.7282,100.3585
