generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,5,200.0164,27.5736,9.6000,116,44,20.7214,50.1206,97.6808,0.1041,10.0475,29.6290,3.3671,100.5596,50.9413,145.5671
2,50,2,179.9997,24.8043,12.0167,102,47,23.3397,43.4140,94.4052,0.0993,11.7604,29.6196,10.0629,86.3205,57.8393,144.4173
3,50,10,189.9997,42.9543,20.2333,246,40,25.6695,43.6788,97.3177,0.0893,18.3755,29.7375,13.3768,81.5512,70.4865,144.4173
4,50,16,169.9997,47.0743,16.8334,286,34,26.8792,43.8230,99.8924,0.0858,23.2887,29.6786,22.9197,74.2136,69.8277,144.4173
5,50,37,159.9997,93.2438,109.9997,669,13,27.3333,47.3932,99.9180,0.0874,23.5161,29.2256,22.9023,64.2774,70.4793,131.8917
6,50,50,169.9997,118.8997,117.4997,889,0,27.7668,49.6119,104.5861,0.0890,25.4002,29.6050,38.7594,59.3647,88.9991,130.0358
7,50,50,159.9997,124.3997,124.9997,944,0,28.1130,50.5301,108.6160,0.0894,26.2514,30.0000,40.8609,56.9714,91.3617,130.0358
8,50,50,194.9997,134.0997,134.9997,1041,0,28.3036,52.5329,112.8514,0.0914,26.6709,30.0000,44.3463,60.9018,98.0661,122.7843
9,50,50,169.9997,131.1997,132.4997,1012,0,28.4339,51.7783,112.6909,0.0922,27.4787,29.9288,44.8256,62.7986,98.0661,118.8080
10,50,50,159.9997,121.2997,119.9997,913,0,28.4822,50.8935,113.0342,0.0904,27.2260,29.5610,41.8863,58.2196,104.1810,117.5148
11,50,50,184.9997,127.2997,124.9997,973,0,28.4668,50.5428,114.2223,0.0923,26.0767,29.8075,41.8863,60.9800,108.8657,122.5377
12,50,50,174.9997,132.2997,127.4997,1023,0,28.5315,50.7834,115.3430,0.0929,26.7287,30.0000,38.3267,60.1238,111.6909,118.6153
13,50,50,169.9997,127.2997,127.4997,973,0,28.7018,51.9393,115.5533,0.0938,27.1783,30.0000,43.8524,61.2975,105.9951,123.0667
14,50,50,189.9997,130.5997,124.9997,1006,0,28.7261,52.6556,115.6490,0.0941,26.6832,30.0000,44.4477,57.1953,105.3075,120.4082
15,50,50,194.9997,135.3996,134.9997,1054,0,28.6790,52.6295,115.3979,0.0938,27.3025,30.0000,42.9445,61.6362,105.9797,118.1729
16,50,50,184.9997,120.4997,114.9997,905,0,28.9200,51.9401,115.9099,0.0936,27.8773,30.0000,47.1835,60.9663,112.7274,123.2637
17,50,50,184.9997,133.4997,129.9997,1035,0,28.8753,51.9896,115.3353,0.0941,26.5108,30.0000,44.7441,60.9727,108.1628,119.6312
18,50,50,164.9997,129.3997,129.9997,994,0,28.7554,52.1533,115.8307,0.0936,27.0515,30.0000,45.3384,62.2409,107.3461,122.7519
19,50,50,179.9997,129.8997,129.9997,999,0,28.6095,51.9187,116.8406,0.0933,26.8200,30.0000,43.2732,59.2153,108.9472,129.1511
20,50,50,169.9997,129.5997,129.9997,996,0,28.7658,51.9807,117.1898,0.0931,26.4560,30.0000,40.5200,58.7278,107.4513,128.6824
21,50,50,164.9997,129.9997,124.9997,1000,0,28.7016,52.6190,117.0814,0.0914,27.4335,30.0000,45.8710,60.2763,107.4513,126.9667
22,50,50,209.9997,136.8997,137.4997,1069,0,28.7496,52.7456,117.3646,0.0917,26.6929,30.0000,44.8558,59.2524,104.6702,129.6644
23,50,50,179.9997,134.8997,134.9997,1049,0,28.8171,54.2629,118.0933,0.0922,26.4736,30.0000,47.4722,63.5357,110.4425,126.4944
24,50,50,189.9997,140.2997,139.9997,1103,0,28.7922,54.8024,117.7440,0.0926,26.9729,30.0000,46.0225,65.8649,105.6051,127.9385
25,50,50,174.9997,138.1996,139.9997,1082,0,28.8945,55.2764,118.9063,0.0919,27.1012,30.0000,48.7249,62.5723,111.7378,125.5187
26,50,50,179.9997,133.9996,129.9997,1040,0,28.7603,55.8193,120.2461,0.0907,27.0899,30.0000,46.6977,66.8547,112.0056,130.2683
27,50,50,179.9997,131.6997,132.4997,1017,0,28.9314,56.6764,119.7404,0.0911,27.7233,30.0000,46.5734,66.8547,112.0344,125.8468
28,50,50,174.9997,137.1996,139.9997,1072,0,28.9255,56.9397,119.5471,0.0912,27.0900,30.0000,48.3532,65.3651,109.8424,130.3126
29,50,50,199.9997,136.5997,132.4997,1066,0,28.8311,57.8328,119.1125,0.0912,27.3059,30.0000,49.8569,66.7589,105.9864,130.8537
30,50,50,164.9997,138.8996,139.9997,1089,0,28.6908,58.5039,119.6900,0.0906,26.8647,30.0000,53.8597,66.5763,110.6642,127.1984
