run,seed,mean_best,median_best,mean_survivors,food_total,predation_total,nonextinct_generations,final_size_mean,final_size_min,final_size_max,first_size_boundary,final_speed_mean,final_speed_min,final_speed_max,first_speed_boundary,final_vision_mean,final_vision_min,final_vision_max,first_vision_boundary
baseline,42,173.92748,169.9997,46.46666666666667,25235.0,105.0,30,26.9389,24.4965,28.4694,none,66.4171,57.0963,74.3516,none,87.3614,80.0332,91.4236,none
baseline,43,174.16692333333333,169.9997,45.93333333333333,24429.0,119.0,30,28.6513,27.8583,30.0,10,61.111,56.2631,65.6311,none,106.3688,98.606,115.9437,2
baseline,44,163.83359,162.4997,45.06666666666667,23733.0,147.0,30,26.6173,25.0073,28.3617,none,52.1343,42.5628,60.8952,none,107.0534,99.7422,113.1564,none
baseline,45,194.16692333333333,194.9997,44.93333333333333,29290.0,152.0,30,29.2737,27.6555,29.7856,5,73.0766,63.3139,82.5597,none,93.6858,88.1274,102.2157,none
baseline,46,173.66692333333333,169.9997,46.5,26996.0,105.0,30,28.3175,26.2963,29.4739,2,72.2877,63.6661,80.2842,none,100.0149,93.1119,111.6522,none
baseline,47,182.83359,182.4997,46.166666666666664,26111.0,114.0,30,29.278,27.8406,30.0,2,75.3096,65.8462,84.6925,none,96.6912,86.0152,101.7326,none
baseline,48,179.33359,174.9997,43.833333333333336,24691.0,185.0,30,29.0682,27.893,30.0,5,58.7263,49.401,67.1908,none,110.2141,97.5576,116.7305,none
baseline,49,189.50025666666664,189.9997,46.96666666666667,28877.0,91.0,30,28.4864,26.0272,30.0,3,79.9093,70.6224,88.4973,none,117.2307,107.7994,127.6697,none
baseline,50,159.00025666666664,154.9997,45.733333333333334,21779.0,128.0,30,28.939,27.8298,30.0,5,54.3592,46.4187,64.6559,none,89.7816,81.3887,95.8007,none
baseline,51,164.9858133333333,162.4997,45.86666666666667,24585.0,123.0,30,26.8286,25.9937,27.8171,none,59.5607,48.7086,71.4575,none,98.1992,88.8269,108.4766,none
movement,42,179.00025666666664,174.9997,46.833333333333336,27333.0,92.0,30,27.0273,26.2419,28.1652,none,76.2261,65.2726,83.8972,none,85.7884,81.7593,94.509,none
movement,43,190.66692333333333,189.9997,46.63333333333333,30572.0,101.0,30,29.5599,28.5412,30.0,5,74.9865,65.3939,83.8634,none,109.7216,101.0732,118.3135,none
movement,44,194.83359,194.9997,45.46666666666667,31436.0,135.0,30,28.9596,27.196,30.0,21,72.7438,57.2082,82.2834,none,109.9075,100.0457,114.273,none
