generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,7,135.0164,32.8046,26.5249,143,35,18.6693,50.0896,95.9215,0.1050,10.0987,29.3073,4.9276,101.5884,51.6678,143.9263
2,50,11,119.9997,41.1379,28.8416,207,30,23.2986,56.1673,96.1395,0.1096,16.8043,29.2544,16.4590,99.8757,60.6689,133.2273
3,50,19,104.9997,50.6525,47.7747,277,2,26.0719,65.5396,95.0939,0.1108,23.2581,30.0000,29.4657,94.8048,68.7686,124.4893
4,50,42,149.9997,81.7418,77.4997,524,1,26.3582,64.3334,91.9697,0.1126,24.1424,30.0000,43.8558,85.1673,76.4044,105.4592
5,50,27,109.9997,66.7651,71.2664,407,0,26.1871,66.6876,91.2040,0.1125,24.9220,27.9452,49.8230,81.8680,82.0122,99.2608
6,50,25,114.9997,60.7955,64.9997,363,0,26.3166,68.5476,91.2186,0.1133,24.5924,28.2453,57.7997,76.0247,84.7907,99.6172
7,50,39,129.9997,83.1211,84.9997,551,0,26.3594,68.4227,91.7098,0.1159,25.1172,27.3536,59.0856,76.3370,80.1839,104.3543
8,50,32,119.9997,69.8578,73.4331,430,0,26.4674,69.4794,91.3939,0.1161,25.5076,28.1853,65.0374,79.0688,81.3865,103.1815
9,50,25,114.9997,64.8511,66.9915,387,0,26.5698,69.9031,91.7425,0.1159,24.5695,28.1288,59.5422,82.9582,83.8710,103.1815
10,50,36,129.9997,74.3738,74.9997,464,0,26.4600,68.5818,91.3180,0.1165,24.3853,28.2945,61.4878,75.5495,80.5539,101.9202
11,50,35,114.9997,75.8804,79.9997,484,0,26.4119,67.6574,92.2515,0.1172,23.8086,28.1426,58.6899,80.3659,86.3493,98.1605
12,50,31,134.9997,69.5331,69.9997,432,0,26.4504,68.3687,92.8963,0.1165,24.6371,28.8037,57.5537,80.3659,82.0049,101.6500
13,50,33,129.9997,69.9958,74.9997,435,0,26.6373,68.2853,92.3732,0.1171,25.0886,28.5178,58.5470,78.4555,84.7227,94.7111
14,50,37,124.9997,76.6654,79.9997,490,0,26.6077,69.8243,92.6973,0.1177,24.8942,28.4531,61.4723,80.3880,88.6762,98.8449
15,50,35,134.9997,77.1701,79.9997,498,0,26.6565,69.2062,92.6562,0.1178,25.0684,28.4564,59.3187,80.3880,88.6762,98.3377
16,50,35,129.9997,79.6531,84.9997,523,0,26.8542,69.1013,92.2573,0.1172,24.8744,27.9220,62.2319,80.5704,83.7166,100.9308
17,50,36,119.9997,76.0234,79.9997,486,0,27.0236,68.7009,91.6962,0.1171,25.0674,29.1974,59.4175,77.3945,86.9423,95.4757
18,50,30,119.9997,70.1625,74.6914,440,0,26.9976,68.1787,91.4702,0.1168,24.2883,29.1974,61.0741,76.5369,80.1296,95.8997
19,50,31,114.9997,68.5048,72.4997,415,0,27.0486,68.3416,90.8926,0.1171,25.5141,29.2305,63.9066,73.7810,78.1202,98.4809
20,50,29,129.9997,65.8731,65.6498,400,0,27.0540,68.3922,91.5918,0.1174,25.0855,28.6918,60.2516,78.6933,83.5875,98.2471
21,50,32,129.9997,69.9691,74.9997,438,0,27.0347,68.5394,91.3814,0.1185,24.3886,28.5235,62.8850,76.5767,86.5309,99.0294
22,50,36,154.9997,82.3281,79.9997,544,0,27.0900,68.3217,91.8602,0.1180,25.0855,28.4633,62.8850,78.6112,86.9809,102.5707
23,50,36,124.9997,72.0794,74.9997,446,0,26.9843,69.1046,92.3008,0.1186,24.9989,28.6618,64.2439,78.4051,81.4360,99.6869
24,50,35,139.9997,73.9388,71.7831,466,0,27.0572,68.3358,91.0720,0.1193,24.6022,29.2610,62.2134,77.6811,80.6351,96.1260
25,50,32,124.9997,77.1661,79.9997,496,0,26.9368,68.0320,90.4483,0.1190,25.8537,28.1317,62.0730,78.2954,84.5398,94.8966
26,50,38,134.9997,74.0254,79.9997,465,0,26.8161,66.9400,89.3403,0.1204,25.3885,27.6495,56.7986,72.0835,77.9813,98.3102
27,50,39,134.9997,79.8428,79.9997,513,0,26.8433,67.7026,88.1049,0.1197,25.3311,28.6887,61.8702,76.5395,81.9161,92.5745
28,50,35,119.9997,78.2384,80.1165,505,0,26.9718,67.1861,88.2238,0.1201,25.1901,29.0441,61.8935,74.6338,79.6915,98.4743
29,50,26,124.9997,71.8378,71.4748,452,0,26.7929,67.3980,88.4956,0.1202,24.7789,28.4399,58.0622,76.5699,81.2466,101.6277
30,50,34,129.9997,72.0755,79.9997,458,0,26.9402,67.1441,89.0607,0.1210,25.6906,28.3188,60.2603,75.5605,82.6189,99.7746
